session_id,priceable,power_kw,energy_kwh,real_slack_h,shift_h,baseline_gco2,optimal_gco2
2_39_79_380_2019-01-06 20:06:29.177954,True,2.3588997110135934,12.244,0.45444444444444443,0.0,2713.9846738255824,2713.9846738255824
2_39_139_28_2019-01-06 20:11:28.392115,True,6.2745625841184385,2.59,0.0016666666666666668,0.0,504.211111002271,504.211111002271
2_39_139_28_2019-01-06 20:41:25.648191,True,3.081887755102041,4.027,0.001388888888888889,0.0,822.6534256932246,822.6534256932246
2_39_79_382_2019-01-06 20:42:32.560960,True,6.434350603264727,15.11,0.001388888888888889,0.0,3216.0174106202353,3216.0174106202353
2_39_130_31_2019-01-06 20:46:46.864177,True,6.30312379483224,4.54,1.0366666666666666,0.0,923.5072342366518,923.5072342366518
2_39_79_379_2019-01-06 21:05:56.013305,True,2.924161907126894,3.271,3.63,0.0,687.5193051002658,687.5193051002658
2_39_139_28_2019-01-06 22:04:02.916180,True,4.494610778443114,3.753,0.001388888888888889,0.0,834.2365090491927,834.2365090491927
2_39_125_21_2019-01-06 23:04:59.148776,True,6.001348819782691,13.348,3.2913888888888887,3.291388888888889,3178.7118568925944,3090.8753569482524
2_39_131_30_2019-01-06 23:18:28.240043,True,5.856780821917808,9.501,0.0011111111111111111,0.0,2264.329979759228,2264.329979759228
2_39_139_28_2019-01-07 00:40:13.710715,True,6.361226015449788,56.728,6.551666666666667,2.4116666666666617,11724.832873754782,11093.987640408952
2_39_79_380_2019-01-07 03:44:35.495065,True,6.246162673934872,36.285,6.9375,1.256944444444457,6885.910308522487,6661.556027051371
2_39_127_19_2019-01-07 13:50:59.641869,True,5.616574516210102,49.663,0.001388888888888889,0.0,12716.44987637697,12716.44987637697
2_39_89_25_2019-01-07 14:05:12.217769,True,3.3287671232876717,4.86,0.0002777777777777778,0.00027777777776805124,1218.2610910130552,1218.2546781750382
2_39_78_365_2019-01-07 15:15:40.248727,True,4.245886819743265,39.14,0.0019444444444444444,0.0,10225.995199285526,10225.995199285526
2_39_123_23_2019-01-07 15:54:23.598488,True,2.736842105263158,3.9,5.266944444444444,0.6683333333333223,948.5931604192654,944.3396060523963
2_39_95_444_2019-01-07 16:00:12.659040,True,4.08950495049505,24.094,2.7641666666666667,0.0,6146.085064430691,6146.085064430691
2_39_88_438_2019-01-07 16:06:23.670058,True,5.146663698592019,25.689,3.5280555555555555,0.0,6482.344316312266,6482.344316312266
2_39_139_28_2019-01-07 16:14:29.925446,True,0.7407151024444513,6.658,0.0008333333333333334,0.0,1763.7426928168873,1763.7426928168873
2_39_79_377_2019-01-07 16:17:59.681519,True,2.1729729729729734,13.601,1.6725,0.0,3509.778363605547,3509.778363605547
2_39_95_27_2019-01-07 16:25:56.121567,True,5.289188601261692,13.508,7.360833333333333,0.0,3327.613774398253,3327.613774398253
2_39_92_442_2019-01-07 16:27:30.838965,True,5.040467165249462,41.0,0.0002777777777777778,0.0,10821.105406099163,10821.105406099163
